trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.01, 'e': 0.9999500004166653}",25,0,-116.43382281725886,"{0: 17, 1: 1, 2: 5, 3: 0, 4: 2}",0
2,False,"{'a': 0.01, 'e': 0.9998000066665778}",25,0,-154.60406619669715,"{0: 13, 1: 5, 2: 4, 3: 1, 4: 2}",0
3,False,"{'a': 0.01, 'e': 0.9995500337489875}",25,0,-147.2056919333028,"{0: 14, 1: 3, 2: 5, 3: 1, 4: 2}",0
4,False,"{'a': 0.01, 'e': 0.9992001066609779}",20,0,-111.2594596980903,"{0: 10, 1: 2, 2: 7, 3: 0, 4: 1}",0
5,False,"{'a': 0.01, 'e': 0.9987502603949663}",20,0,-89.4399956181869,"{0: 11, 1: 4, 2: 4, 3: 0, 4: 1}",0
6,False,"{'a': 0.01, 'e': 0.9982005399352042}",25,0,-84.24018621701595,"{0: 20, 1: 0, 2: 3, 3: 0, 4: 2}",0
7,False,"{'a': 0.01, 'e': 0.9975510002532796}",20,0,-48.77894447088043,"{0: 15, 1: 1, 2: 2, 3: 2, 4: 0}",0
8,False,"{'a': 0.01, 'e': 0.9968017063026194}",25,0,-90.98185272418375,"{0: 16, 1: 3, 2: 5, 3: 0, 4: 1}",0
9,False,"{'a': 0.01, 'e': 0.9959527330119943}",30,0,-241.96819463644596,"{0: 16, 1: 3, 2: 6, 3: 1, 4: 4}",0
10,False,"{'a': 0.01, 'e': 0.9950041652780257}",25,7,-68.81471301883283,"{0: 9, 1: 2, 2: 7, 3: 0, 4: 0}",1
11,False,"{'a': 0.01, 'e': 0.9939560979566968}",20,0,-88.58016391935364,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 2}",0
12,False,"{'a': 0.01, 'e': 0.9928086358538663}",20,0,-109.71337483447907,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
13,False,"{'a': 0.01, 'e': 0.9915618937147881}",20,0,-91.24728536270342,"{0: 14, 1: 1, 2: 2, 3: 2, 4: 1}",0
14,False,"{'a': 0.01, 'e': 0.9902159962126371}",20,3,-59.722801415135905,"{0: 12, 1: 1, 2: 3, 3: 0, 4: 1}",1
15,False,"{'a': 0.01, 'e': 0.9887710779360422}",25,0,-99.3932734861699,"{0: 15, 1: 2, 2: 7, 3: 0, 4: 1}",0
