trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,0,-90.96291562019995,"{0: 17, 1: 0, 2: 7, 3: 0, 4: 1}",1
2,False,"{'a': 0.5, 'e': 1.0}",20,7,-18.144151302865083,"{0: 8, 1: 4, 2: 1, 3: 0, 4: 0}",1
3,False,"{'a': 0.5, 'e': 1.0}",25,0,-145.66383896668052,"{0: 13, 1: 0, 2: 10, 3: 1, 4: 1}",0
4,False,"{'a': 0.5, 'e': 1.0}",30,0,-105.89148294216777,"{0: 19, 1: 3, 2: 7, 3: 0, 4: 1}",0
5,False,"{'a': 0.5, 'e': 1.0}",20,0,-87.92814317060355,"{0: 12, 1: 3, 2: 3, 3: 1, 4: 1}",0
6,False,"{'a': 0.5, 'e': 1.0}",25,0,-93.2956399026163,"{0: 16, 1: 2, 2: 6, 3: 0, 4: 1}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-102.9386964890979,"{0: 14, 1: 2, 2: 1, 3: 1, 4: 2}",0
8,False,"{'a': 0.5, 'e': 1.0}",25,0,-210.3663527023541,"{0: 10, 1: 5, 2: 6, 3: 1, 4: 3}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-80.67794292155024,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
10,False,"{'a': 0.5, 'e': 1.0}",25,0,-77.39705798059408,"{0: 16, 1: 2, 2: 5, 3: 2, 4: 0}",0
11,False,"{'a': 0.5, 'e': 1.0}",25,0,-184.4368329956028,"{0: 13, 1: 2, 2: 7, 3: 0, 4: 3}",0
12,False,"{'a': 0.5, 'e': 1.0}",25,12,-59.24332398455633,"{0: 8, 1: 1, 2: 3, 3: 0, 4: 1}",1
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-52.08980805629545,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
14,False,"{'a': 0.5, 'e': 1.0}",25,0,-143.45506755525514,"{0: 17, 1: 0, 2: 4, 3: 2, 4: 2}",0
15,False,"{'a': 0.5, 'e': 1.0}",20,0,-128.23254873178234,"{0: 12, 1: 2, 2: 3, 3: 1, 4: 2}",0
16,False,"{'a': 0.5, 'e': 1.0}",30,0,-145.0284580196256,"{0: 17, 1: 4, 2: 7, 3: 0, 4: 2}",0
17,False,"{'a': 0.5, 'e': 1.0}",25,0,-270.5394803022809,"{0: 9, 1: 2, 2: 9, 3: 1, 4: 4}",0
18,False,"{'a': 0.5, 'e': 1.0}",25,0,-243.17874021925053,"{0: 8, 1: 2, 2: 12, 3: 0, 4: 3}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,0,-98.9156265487627,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 2}",0
20,False,"{'a': 0.5, 'e': 1.0}",25,0,-21.689669648739713,"{0: 20, 1: 1, 2: 4, 3: 0, 4: 0}",0
1,True,"{'a': 0.5, 'e': 1.0}",25,0,-47.76001532221978,"{0: 16, 1: 4, 2: 5, 3: 0, 4: 0}",0
2,True,"{'a': 0.5, 'e': 1.0}",30,0,-130.067774643514,"{0: 19, 1: 1, 2: 8, 3: 1, 4: 1}",0
3,True,"{'a': 0.5, 'e': 1.0}",30,0,-137.3425387876906,"{0: 18, 1: 4, 2: 6, 3: 0, 4: 2}",0
4,True,"{'a': 0.5, 'e': 1.0}",20,0,-51.16573740688448,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
5,True,"{'a': 0.5, 'e': 1.0}",20,0,-114.60025779538749,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
6,True,"{'a': 0.5, 'e': 1.0}",25,0,-134.5717445453533,"{0: 19, 1: 1, 2: 1, 3: 1, 4: 3}",0
7,True,"{'a': 0.5, 'e': 1.0}",25,0,-97.9305286503384,"{0: 16, 1: 0, 2: 8, 3: 0, 4: 1}",0
8,True,"{'a': 0.5, 'e': 1.0}",25,0,-201.10785365352027,"{0: 12, 1: 1, 2: 9, 3: 0, 4: 3}",0
9,True,"{'a': 0.5, 'e': 1.0}",20,0,-137.79664369783248,"{0: 7, 1: 2, 2: 10, 3: 0, 4: 1}",0
10,True,"{'a': 0.5, 'e': 1.0}",35,0,-216.6113005907412,"{0: 20, 1: 6, 2: 5, 3: 0, 4: 4}",0
